Date;Time;PV_Power
7/23/22;18.0;20.46667
7/23/22;18.15;16.47
7/23/22;18.3;14.06667
7/23/22;18.45;10.86667
7/23/22;19.0;8.3
7/23/22;19.15;5.933333
7/23/22;19.3;3.8
7/23/22;19.45;2.2
7/23/22;20.0;0.57
7/23/22;20.15;0.0
7/23/22;20.3;0.0
7/23/22;20.45;0.0
7/23/22;21.0;0.0
7/23/22;21.15;0.0
7/23/22;21.3;0.0
7/23/22;21.45;0.0
7/23/22;22.0;0.0
7/23/22;22.15;0.0
7/23/22;22.3;0.0
7/23/22;22.45;0.0
7/23/22;23.0;0.0
7/23/22;23.15;0.0
7/23/22;23.3;0.0
7/23/22;23.45;0.0
7/24/22;0.0;0.0
7/24/22;0.15;0.0
7/24/22;0.3;0.0
7/24/22;0.45;0.0
7/24/22;1.0;0.0
7/24/22;1.15;0.0
7/24/22;1.3;0.0
7/24/22;1.45;0.0
7/24/22;2.0;0.0
7/24/22;2.15;0.0
7/24/22;2.3;0.0
7/24/22;2.45;0.0
7/24/22;3.0;0.0
7/24/22;3.15;0.0
7/24/22;3.3;0.0
7/24/22;3.45;0.0
7/24/22;4.0;0.0
7/24/22;4.15;0.0
7/24/22;4.3;0.0
7/24/22;4.45;0.0
7/24/22;5.0;0.0
7/24/22;5.15;0.0
7/24/22;5.3;0.0
7/24/22;5.45;0.0
7/24/22;6.0;0.0
7/24/22;6.15;0.1
7/24/22;6.3;1.3
7/24/22;6.45;2.833333
7/24/22;7.0;6.633333
7/24/22;7.15;8.133333
7/24/22;7.3;10.30667
7/24/22;7.45;13.4
7/24/22;8.0;17.58667
7/24/22;8.15;22.30333
7/24/22;8.3;24.44
7/24/22;8.45;27.6
7/24/22;9.0;36.11
7/24/22;9.15;40.06
7/24/22;9.3;44.91
7/24/22;9.45;51.36333
7/24/22;10.0;55.88333
7/24/22;10.15;56.58333
7/24/22;10.3;61.61666
7/24/22;10.45;65.64667
7/24/22;11.0;68.59666
7/24/22;11.15;69.71
7/24/22;11.3;72.83334
7/24/22;11.45;73.07667
7/24/22;12.0;74.47667
7/24/22;12.15;74.82333
7/24/22;12.3;78.43999
7/24/22;12.45;78.84666
7/24/22;13.0;77.36667
7/24/22;13.15;76.46
7/24/22;13.3;79.9
7/24/22;13.45;81.34
7/24/22;14.0;78.12334
7/24/22;14.15;74.65667
7/24/22;14.3;71.21
7/24/22;14.45;71.45667
7/24/22;15.0;70.65
7/24/22;15.15;67.97334
7/24/22;15.3;69.00333
7/24/22;15.45;65.51334
7/24/22;16.0;62.22
7/24/22;16.15;58.17
7/24/22;16.3;53.19667
7/24/22;16.45;45.61666
